"vimeo_id","title","description","thumbnail_url","duration","created","vimeo_url"
"1173730849","Workflow Management - Webfleet Solutions UKI_final",,"https://i.vimeocdn.com/video/2134131185-8cddc1a5906b34c2465b4c47b24e78fb28ba2c2e2a5808736c13956e1d0a68bf-d_1920x1080?&r=pad&region=us","100","2026-03-15T12:15:41+00:00","https://vimeo.com/1173730849"
"1173730833","Workflow Management - Starting Orders",,"https://i.vimeocdn.com/video/2134132516-5c800b8945cc75aaac9f2a8b48e6328e3f89968c6efccde623d12d0ab118f22f-d_1920x1080?&r=pad&region=us","213","2026-03-15T12:15:34+00:00","https://vimeo.com/1173730833"
"1173730808","Workflow Management - Schedule Review & Optimisation",,"https://i.vimeocdn.com/video/2134131005-02317609dd6d3177ab7c5ee7f122caac235ccaa783ac8e47599351d5f4dabc39-d_1920x1080?&r=pad&region=us","220","2026-03-15T12:15:25+00:00","https://vimeo.com/1173730808"
"1173730795","Workflow Management - Quick Tour",,"https://i.vimeocdn.com/video/2134131301-30f6f10d5cfac68601732b0d59b66ba1ac5854dc1c093bc4c7ddd5c2fae3a205-d_1920x1080?&r=pad&region=us","315","2026-03-15T12:15:13+00:00","https://vimeo.com/1173730795"
"1173730759","Workflow Management - Orders View",,"https://i.vimeocdn.com/video/2134131629-385be792927dadc775aae9ddf0607f0097082f2b2bfdbdee1f2ca26b38c95849-d_1920x1080?&r=pad&region=us","216","2026-03-15T12:15:02+00:00","https://vimeo.com/1173730759"
"1173730743","Workflow Management - Order NotifIfication",,"https://i.vimeocdn.com/video/2134131100-d37e60fae1b0a3a14342e91d4ae54e27e3d29d017908d3d02508c84255be1271-d_1920x1080?&r=pad&region=us","191","2026-03-15T12:14:53+00:00","https://vimeo.com/1173730743"
"1173730729","Workflow Management - Order Features",,"https://i.vimeocdn.com/video/2134131459-10424b246b08dc70091bd24c4b1e12cdb57fbcfe0d758ab5410f72094e56fd86-d_1920x1080?&r=pad&region=us","211","2026-03-15T12:14:46+00:00","https://vimeo.com/1173730729"
"1173730712","Workflow Management - Introduction to Orders",,"https://i.vimeocdn.com/video/2134131553-5db72e67f6ebd0a2d2eedf2585d6ea4e024cd59d64988d2de78ce246b8690839-d_1920x1080?&r=pad&region=us","195","2026-03-15T12:14:35+00:00","https://vimeo.com/1173730712"
"1173730696","Workflow Management - Importing Orders",,"https://i.vimeocdn.com/video/2134132245-6ea7babd890766c5fecda3478a4b31e4736d8873e9455f755253de90205f2e4f-d_1920x1080?&r=pad&region=us","215","2026-03-15T12:14:28+00:00","https://vimeo.com/1173730696"
"1173730689","Workflow Management - Fleet Scheduler",,"https://i.vimeocdn.com/video/2134132071-379bd2d0e264a5fb8fd15a818928cc3499c60864c0eb4780b9b12a299fd1257a-d_1920x1080?&r=pad&region=us","237","2026-03-15T12:14:22+00:00","https://vimeo.com/1173730689"
